# BEAST v10.5.0-beta5 Prerelease #1d511b10c2
# Generated Fri Jul 04 14:54:03 EDT 2025 [seed=5707]
# -overwrite -beagle_cuda -beagle_double -beagle_order 1 -seed 5707 -errors 1000 vc.drc.2025.onlycamps-rc-bs-400m.xml
state	serotype.rates.Hikojima.Inaba	serotype.rates.Hikojima.Ogawa	serotype.rates.Inaba.Ogawa	serotype.rates.Inaba.Hikojima	serotype.rates.Ogawa.Hikojima	serotype.rates.Ogawa.Inaba	serotype.indicators.Hikojima.Inaba	serotype.indicators.Hikojima.Ogawa	serotype.indicators.Inaba.Ogawa	serotype.indicators.Inaba.Hikojima	serotype.indicators.Ogawa.Hikojima	serotype.indicators.Ogawa.Inaba	serotype.nonZeroRates
920000	0.7611643111264188	1.5725155225748204	1.5912351647318963	0.3802305919165928	0.6467934861777536	1.30269654525109	1.0	1.0	1.0	1.0	1.0	1.0	6.0
960000	2.2346447807396355	0.702738712530267	1.062046486649499	1.097450404856993	1.6058377637522658	1.4555556757289132	0.0	1.0	1.0	1.0	1.0	1.0	5.0
1000000	0.18853394606444418	1.0114688770503177	2.6139166197487356	0.5349725207391828	1.1095749143821574	2.8922952515809164	1.0	1.0	1.0	1.0	1.0	1.0	6.0
1040000	0.47554887405131285	1.5170806324664117	1.2212805957435373	0.5544576391331327	0.5956806462843429	1.335997689823478	1.0	1.0	1.0	1.0	1.0	1.0	6.0
1080000	0.5214235431646822	0.3111024527025301	0.44023814680503354	0.22180249342479974	0.550311775362761	0.6192087582995962	1.0	1.0	1.0	1.0	1.0	1.0	6.0
1120000	1.632681703115206	0.20118105089041932	1.2935960120731418	0.6420268627118854	0.8355336146614738	0.8941382807320635	0.0	1.0	1.0	1.0	1.0	1.0	5.0
1160000	0.7251239531017545	1.218949518563046	1.908876661598947	0.42875977818492855	0.9113043584480834	1.4845451723409058	0.0	1.0	1.0	1.0	1.0	1.0	5.0
1200000	0.2431321535689682	0.9263476472340679	2.1089219491927342	0.827425495825227	0.4812038019995609	1.1145796305626767	0.0	1.0	1.0	1.0	1.0	1.0	5.0
1240000	1.3376381274090745	0.05799477917147027	0.7486684944253613	0.26647213760266125	0.2286580314281482	0.6196856423826912	0.0	1.0	1.0	1.0	1.0	1.0	5.0
1280000	0.2374571474716219	0.6918182048861059	0.7029971743892847	0.1230936670321377	0.6618618437997584	1.5116086322640847	1.0	1.0	1.0	1.0	1.0	1.0	6.0
1320000	0.47029072413344836	0.690450316819135	3.2814622493093335	0.7164990624765453	1.2194293210444798	1.7025160769967667	0.0	1.0	1.0	1.0	1.0	1.0	5.0
1360000	0.3294141681682473	0.7649467999049298	0.8661862190715567	0.7118089294772268	0.38263742901767567	1.6297923698524936	0.0	1.0	1.0	1.0	1.0	1.0	5.0
1400000	0.12476967892352654	0.10521400908223942	1.7593599224123944	0.14732971503956657	0.7967914564099184	0.8402262346966017	0.0	1.0	1.0	1.0	1.0	1.0	5.0
1440000	1.731707477844997	0.9006507418649122	2.1097653016350084	1.7655449431022596	1.302496894128155	1.974464095928224	0.0	1.0	1.0	1.0	1.0	1.0	5.0
1480000	0.8992905179147025	2.5373633114052683	3.1540017646842506	0.9205298977586591	1.1598122880338426	2.456146844123957	0.0	1.0	1.0	1.0	1.0	1.0	5.0
1520000	1.6132101535146446	0.26397461177553966	0.5524401367276113	0.4402375226344046	0.34662035511867934	0.5057697073175584	0.0	1.0	1.0	1.0	1.0	1.0	5.0
1560000	0.04861807371824139	0.490260907216512	0.7800375334075437	0.2756841886472058	0.2143418067528145	0.905967841071015	1.0	1.0	1.0	1.0	1.0	1.0	6.0
1600000	0.09189110323384031	0.4604081836058287	1.5819658272790371	0.6857556090643764	0.7064690821866295	1.6040240435478232	1.0	1.0	1.0	1.0	1.0	1.0	6.0
1640000	0.43418072077676145	0.45889842517351653	2.058539468653673	0.8058006040325502	0.26521710193773645	0.9686889705358125	0.0	1.0	1.0	1.0	1.0	1.0	5.0
1680000	0.4373764570782611	0.4206366853180015	3.119808944878266	0.9048862430433147	1.4496051558880345	3.7464746414987027	1.0	1.0	1.0	1.0	1.0	1.0	6.0
1720000	1.190987276125216	0.1477271192280066	0.7159719987979841	0.2927918634309071	0.19708600940245707	0.9121705070877234	0.0	1.0	1.0	1.0	1.0	1.0	5.0
1760000	0.5027950099038639	0.247060242477665	1.4602969999745998	0.5877544866888235	0.5331303079803577	0.9779702112977389	0.0	1.0	1.0	1.0	1.0	1.0	5.0
1800000	0.5994698991953411	0.16944035547118197	0.306928338263125	0.25234406345626076	0.27877119101358455	0.9852454576338587	0.0	1.0	1.0	1.0	1.0	1.0	5.0
1840000	0.17619867559546099	1.1207407091184631	2.2650240645137956	1.0915331267076043	0.30665443271402953	1.6754882785975178	0.0	1.0	1.0	1.0	1.0	1.0	5.0
1880000	1.0906354771236146	2.3152124835976595	3.4379061225279917	0.5153166169031149	0.5556602352884213	2.7925986615588085	0.0	1.0	1.0	1.0	1.0	1.0	5.0
1920000	0.16126943979128808	0.4940540508849964	1.5652084780590456	0.5511894274439176	0.5558674612937959	1.4917637995723962	0.0	1.0	1.0	1.0	1.0	1.0	5.0
1960000	1.3444066326212465	0.3561054128666944	2.5208585937662824	0.5038411113016189	0.7963632341338549	1.2349648207076456	0.0	1.0	1.0	1.0	1.0	1.0	5.0
2000000	0.5374649581350661	0.22971008124682668	2.9330425639733977	0.5729314940248389	0.6194829702582908	1.9688456659495812	1.0	1.0	1.0	1.0	1.0	1.0	6.0
2040000	0.1747290945295281	1.1619636342838893	1.0912611189571109	1.480382008272009	0.3667509916992138	1.4461515990491864	1.0	1.0	1.0	1.0	1.0	1.0	6.0
2080000	1.23327483060018	0.4664578669270922	1.9438768964650472	1.84635186533661	0.5800965252413681	2.0027641599729575	0.0	1.0	1.0	1.0	1.0	1.0	5.0
2120000	0.28622258738517753	0.4594905340752288	1.002441368316327	0.5088431480708828	0.7216993706489266	1.8429531764714406	0.0	1.0	1.0	1.0	1.0	1.0	5.0
2160000	0.05350865569565314	0.5287132654393945	2.1623073412592664	1.0227654734090672	1.0638349299653613	1.3879803961548378	1.0	1.0	1.0	1.0	1.0	1.0	6.0
