name,serotype,source,cluster,location
1177_S50_Ogawa_2023,Ogawa,campsite,cluster-e,Kanyaruchinya
189_S189_Ogawa_2023,Ogawa,campsite,cluster-e,Kibati
32_S32_Ogawa_2023,Ogawa,campsite,cluster-e,Munigi
38_S38_Ogawa_2023,Ogawa,campsite,cluster-e,Munigi
1185_23_S23_Ogawa_2023,Ogawa,campsite,cluster-e,Kibati
39_S39_Inaba_2023,Inaba,campsite,cluster-c,Rusayo
1523_23_S21_Inaba_2023,Inaba,campsite,cluster-e,Kibati
1752_S52_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
1753_23_S22_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
1908_23_S19_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
36_S36_Ogawa_2023,Ogawa,campsite,cluster-c,Rusayo
44_S44_Inaba_2023,Inaba,campsite,cluster-e,Kibati
37_S37_Inaba_2023,Inaba,campsite,cluster-c,Rusayo
2029_23_S94_Ogawa_2023,Ogawa,campsite,cluster-e,Kibati
33_S33_Ogawa_2023,Ogawa,campsite,cluster-c,Rusayo
34_S34_Inaba_2023,Inaba,campsite,cluster-c,Rusayo
40_S40_Inaba_2023,Inaba,campsite,cluster-a,Nzulo
102_S102_Ogawa_2023,Ogawa,campsite,cluster-e,Kanyaruchinya
104_S104_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
47_S47_Hikojima_2023,Hikojima,campsite,cluster-b,Bulengo
48_S48_Inaba_2023,Inaba,campsite,cluster-e,Kibati
62_S62_Ogawa_2023,Ogawa,campsite,cluster-e,Munigi
84_S84_Ogawa_2023,Ogawa,campsite,cluster-d,Don-Bosco
2404_23_S51_Inaba_2023,Inaba,campsite,cluster-a,Nzulo
2409_23_S52_Inaba_2023,Inaba,campsite,cluster-a,Nzulo
127_S127_Ogawa_2023,Ogawa,campsite,cluster-e,Kibati
2428_23_S57_Inaba_2023,Inaba,campsite,cluster-d,Don-Bosco
2431_23_S95_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
2432_23_S92_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
2439_23_S93_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
2448_23_S91_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
2449_23_S90_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
2452_23_S88_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
2563_23_S14_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
35_S35_Inaba_2023,Inaba,campsite,cluster-a,Nzulo
83_S83_Ogawa_2023,Ogawa,campsite,cluster-e,Munigi
99_S99_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
2433_23_S20_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
2444_23_S17_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
2450_23_S18_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
98_S98_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
2562_23_S87_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
81_S81_Ogawa_2023,Ogawa,campsite,cluster-e,Kanyaruchinya
2507_23_S56_Inaba_2023,Inaba,campsite,cluster-a,Nzulo
2508_23_S53_Inaba_2023,Inaba,campsite,cluster-a,Nzulo
2510_23_S54_Inaba_2023,Inaba,campsite,cluster-a,Nzulo
2540_23_S89_Ogawa_2023,Ogawa,campsite,cluster-e,Kibati
2543_23_S16_Ogawa_2023,Ogawa,campsite,cluster-e,Kibati
2550_23_S13_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
2564_23_S11_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
2566_23_S12_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
97_S97_Ogawa_2023,Ogawa,campsite,cluster-e,Kibati
30_S30_Inaba_2023,Inaba,campsite,cluster-c,Rusayo
31_S31_Inaba_2023,Inaba,campsite,cluster-d,Don-Bosco
41_S41_Hikojima_2023,Hikojima,campsite,cluster-d,Don-Bosco
54_S54_Inaba_2023,Inaba,campsite,cluster-d,Don-Bosco
2798_23_S86_Inaba_2023,Inaba,campsite,cluster-e,Kibati
60_S60_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
2860_23_S66_Inaba_2023,Inaba,campsite,cluster-d,Don-Bosco
2908_23_S65_Inaba_2023,Inaba,campsite,cluster-d,Don-Bosco
